pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap50,24,24,116,0.344877,,0.00891563,0.0110751,0.226667,184,116,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V6,secondary,ap50,24,24,27,0.000149608,0.00314176,0.0351323,0.0470797,0.82,273,27,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V7,secondary,ap50,24,24,144,0.877407,1,0.00725708,-7.10119e-05,-0.04,144,156,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V8,secondary,ap50,24,24,29,0.000205159,0.00410318,-0.0322605,-0.0356555,-0.806667,29,271,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V4,secondary,ap50,24,24,107,0.22919,1,0.0100847,0.0134179,0.286667,193,107,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V5,secondary,ap50,24,24,101,0.16881,1,0.0262081,0.01133,0.326667,199,101,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V6,secondary,ap50,24,24,31,0.000278115,0.00500607,0.0638097,0.0640383,0.793333,269,31,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V7,secondary,ap50,24,24,103,0.187501,1,0.0128552,0.0168876,0.313333,197,103,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V8,secondary,ap50,24,24,83,0.0564266,0.733546,-0.00952091,-0.0186969,-0.446667,83,217,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V5,secondary,ap50,24,24,146,0.921809,1,0.0056756,-0.00208794,0.0266667,154,146,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V6,secondary,ap50,24,24,30,0.000239253,0.00454581,0.0494356,0.0506204,0.8,270,30,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V7,secondary,ap50,24,24,148,0.966447,1,-0.00782512,0.00346972,-0.0133333,148,152,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V8,secondary,ap50,24,24,8,2.98023e-06,7.45058e-05,-0.0224172,-0.0321148,-0.946667,8,292,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V5 vs V6,secondary,ap50,24,24,22,6.38962e-05,0.00140572,0.0505576,0.0527083,0.853333,278,22,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V5 vs V7,secondary,ap50,24,24,149,0.988813,1,0.0121349,0.00555766,0.00666667,151,149,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V6 vs V7,secondary,ap50,24,24,36,0.000567555,0.00964844,-0.0419406,-0.0471507,-0.76,36,264,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V6 vs V8,secondary,ap50,24,24,9,3.93391e-06,9.04799e-05,-0.0745388,-0.0827352,-0.94,9,291,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V7 vs V8,secondary,ap50,24,24,75,0.0314816,0.440743,-0.0214686,-0.0355845,-0.5,75,225,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
