variant,class,dim,stratum,n_gt,AP50,AP50_95
V4,car,density,sparse,137,0.8454,0.6721
V4,pedestrian,density,sparse,21,0.6910,0.4995
V4,two-wheeler,density,sparse,228,0.7286,0.4492
V4,big-vehicle,density,medium,70,0.4790,0.3280
V4,car,density,medium,263,0.8271,0.5909
V4,pedestrian,density,medium,540,0.8036,0.4953
V4,two-wheeler,density,medium,453,0.6125,0.3386
V4,big-vehicle,density,dense,1,0.0000,0.0000
V4,car,density,dense,11,0.6813,0.4417
V4,pedestrian,density,dense,77,0.6832,0.3819
V4,two-wheeler,density,dense,21,0.6276,0.3825
V5,big-vehicle,global,all,331,0.7956,0.6400
V5,car,global,all,411,0.7951,0.5783
V5,pedestrian,global,all,638,0.7419,0.4505
V5,two-wheeler,global,all,702,0.7093,0.3964
V5,big-vehicle,size,small,17,0.3428,0.2312
V5,car,size,small,160,0.6838,0.4437
V5,pedestrian,size,small,257,0.6435,0.3760
V5,two-wheeler,size,small,489,0.6532,0.3314
V5,big-vehicle,size,medium,123,0.5702,0.4088
V5,car,size,medium,215,0.8451,0.6342
V5,pedestrian,size,medium,380,0.8161,0.5090
V5,two-wheeler,size,medium,212,0.8386,0.5419
V5,big-vehicle,size,large,191,0.9482,0.7989
V5,car,size,large,36,0.9352,0.8183
V5,pedestrian,size,large,1,0.9901,0.6931
V5,two-wheeler,size,large,1,0.9901,0.8911
V5,big-vehicle,occlusion,no,302,0.7978,0.6455
V5,car,occlusion,no,372,0.7915,0.5821
V5,pedestrian,occlusion,no,473,0.7396,0.4545
V5,two-wheeler,occlusion,no,636,0.7163,0.4023
V5,big-vehicle,occlusion,partial,27,0.4357,0.2649
V5,car,occlusion,partial,39,0.4320,0.2540
V5,pedestrian,occlusion,partial,163,0.3823,0.1916
V5,two-wheeler,occlusion,partial,66,0.1828,0.0837
V5,big-vehicle,occlusion,heavy,2,0.4951,0.1403
V5,car,occlusion,heavy,0,nan,nan
V5,pedestrian,occlusion,heavy,2,0.0108,0.0056
V5,two-wheeler,occlusion,heavy,0,nan,nan
V5,big-vehicle,density,sparse,260,0.8756,0.7155
V5,car,density,sparse,137,0.7956,0.6280
V5,pedestrian,density,sparse,21,0.4698,0.3063
V5,two-wheeler,density,sparse,228,0.7526,0.4632
V5,big-vehicle,density,medium,70,0.5071,0.3690
V5,car,density,medium,263,0.8122,0.5661
V5,pedestrian,density,medium,540,0.7589,0.4608
V5,two-wheeler,density,medium,453,0.6920,0.3695
V5,big-vehicle,density,dense,1,0.0000,0.0000
V5,car,density,dense,11,0.7614,0.4687
V5,pedestrian,density,dense,77,0.7604,0.4800
V5,two-wheeler,density,dense,21,0.6796,0.4043
V6,big-vehicle,global,all,331,0.7478,0.6410
V6,car,global,all,411,0.7452,0.5759
V6,pedestrian,global,all,638,0.7342,0.4418
V6,two-wheeler,global,all,702,0.6331,0.3850
V6,big-vehicle,size,small,17,0.3406,0.2397
V6,car,size,small,160,0.6301,0.4425
V6,pedestrian,size,small,257,0.6842,0.4020
V6,two-wheeler,size,small,489,0.5732,0.3282
V6,big-vehicle,size,medium,123,0.4211,0.3329
V6,car,size,medium,215,0.8305,0.6782
V6,pedestrian,size,medium,380,0.7887,0.4900
V6,two-wheeler,size,medium,212,0.7690,0.5227
V6,big-vehicle,size,large,191,0.9501,0.8447
V6,car,size,large,36,0.8889,0.7554
V6,pedestrian,size,large,1,0.9901,0.7921
V6,two-wheeler,size,large,1,0.4950,0.1521
V6,big-vehicle,occlusion,no,302,0.7584,0.6528
V6,car,occlusion,no,372,0.7441,0.5799
V6,pedestrian,occlusion,no,473,0.7237,0.4324
V6,two-wheeler,occlusion,no,636,0.6444,0.3924
V6,big-vehicle,occlusion,partial,27,0.3400,0.2252
V6,car,occlusion,partial,39,0.3346,0.2258
V6,pedestrian,occlusion,partial,163,0.4333,0.2235
V6,two-wheeler,occlusion,partial,66,0.0793,0.0363
V6,big-vehicle,occlusion,heavy,2,0.0185,0.0080
V6,car,occlusion,heavy,0,nan,nan
V6,pedestrian,occlusion,heavy,2,0.0190,0.0098
V6,two-wheeler,occlusion,heavy,0,nan,nan
V6,big-vehicle,density,sparse,260,0.8650,0.7482
V6,car,density,sparse,137,0.7367,0.6013
V6,pedestrian,density,sparse,21,0.6698,0.4828
V6,two-wheeler,density,sparse,228,0.6796,0.4284
V6,big-vehicle,density,medium,70,0.2992,0.2345
V6,car,density,medium,263,0.7722,0.5821
V6,pedestrian,density,medium,540,0.7485,0.4527
V6,two-wheeler,density,medium,453,0.6131,0.3654
V6,big-vehicle,density,dense,1,0.0000,0.0000
V6,car,density,dense,11,0.7358,0.5213
V6,pedestrian,density,dense,77,0.6977,0.3912
V6,two-wheeler,density,dense,21,0.6745,0.4963
V7,big-vehicle,global,all,331,0.7655,0.6231
V7,car,global,all,411,0.7619,0.5330
V7,pedestrian,global,all,638,0.7974,0.5030
V7,two-wheeler,global,all,702,0.6748,0.4036
V7,big-vehicle,size,small,17,0.3065,0.1993
V7,car,size,small,160,0.6258,0.4317
V7,pedestrian,size,small,257,0.6893,0.3940
V7,two-wheeler,size,small,489,0.6418,0.3692
V7,big-vehicle,size,medium,123,0.6014,0.4259
V7,car,size,medium,215,0.8199,0.5702
V7,pedestrian,size,medium,380,0.8689,0.5796
V7,two-wheeler,size,medium,212,0.7647,0.4938
V7,big-vehicle,size,large,191,0.9309,0.8001
V7,car,size,large,36,0.9545,0.7610
V7,pedestrian,size,large,1,0.9901,0.8911
V7,two-wheeler,size,large,1,0.4950,0.3161
V7,big-vehicle,occlusion,no,302,0.7708,0.6294
V7,car,occlusion,no,372,0.7489,0.5293
V7,pedestrian,occlusion,no,473,0.7991,0.5074
V7,two-wheeler,occlusion,no,636,0.6708,0.4048
V7,big-vehicle,occlusion,partial,27,0.4824,0.3340
V7,car,occlusion,partial,39,0.4652,0.2575
V7,pedestrian,occlusion,partial,163,0.5090,0.2754
V7,two-wheeler,occlusion,partial,66,0.2725,0.1313
V7,big-vehicle,occlusion,heavy,2,0.0110,0.0052
V7,car,occlusion,heavy,0,nan,nan
V7,pedestrian,occlusion,heavy,2,0.0251,0.0136
V7,two-wheeler,occlusion,heavy,0,nan,nan
V7,big-vehicle,density,sparse,260,0.8830,0.7341
V7,car,density,sparse,137,0.7827,0.5878
V7,pedestrian,density,sparse,21,0.6229,0.4653
V7,two-wheeler,density,sparse,228,0.7366,0.4639
V7,big-vehicle,density,medium,70,0.2583,0.1790
V7,car,density,medium,263,0.7589,0.5141
V7,pedestrian,density,medium,540,0.8123,0.5127
V7,two-wheeler,density,medium,453,0.6510,0.3808
V7,big-vehicle,density,dense,1,0.0450,0.0109
V7,car,density,dense,11,0.7617,0.5022
V7,pedestrian,density,dense,77,0.7810,0.4867
V7,two-wheeler,density,dense,21,0.5499,0.3556
V8,big-vehicle,global,all,331,0.8318,0.6501
V8,car,global,all,411,0.8491,0.6304
V8,pedestrian,global,all,638,0.7878,0.4765
V8,two-wheeler,global,all,702,0.6724,0.3925
V8,big-vehicle,size,small,17,0.6903,0.3898
V8,car,size,small,160,0.7391,0.5077
V8,pedestrian,size,small,257,0.6775,0.3691
V8,two-wheeler,size,small,489,0.6635,0.3668
V8,big-vehicle,size,medium,123,0.6386,0.4237
V8,car,size,medium,215,0.8999,0.6945
V8,pedestrian,size,medium,380,0.8655,0.5555
V8,two-wheeler,size,medium,212,0.7221,0.4666
V8,big-vehicle,size,large,191,0.9558,0.8164
V8,car,size,large,36,0.9602,0.7954
V8,pedestrian,size,large,1,0.9901,0.8911
V8,two-wheeler,size,large,1,0.9901,0.3960
V8,big-vehicle,occlusion,no,302,0.8307,0.6531
V8,car,occlusion,no,372,0.8405,0.6296
V8,pedestrian,occlusion,no,473,0.7839,0.4828
V8,two-wheeler,occlusion,no,636,0.6809,0.3981
V8,big-vehicle,occlusion,partial,27,0.5065,0.3304
V8,car,occlusion,partial,39,0.6498,0.3835
V8,pedestrian,occlusion,partial,163,0.5235,0.2579
V8,two-wheeler,occlusion,partial,66,0.1769,0.0849
V8,big-vehicle,occlusion,heavy,2,0.1652,0.0826
V8,car,occlusion,heavy,0,nan,nan
V8,pedestrian,occlusion,heavy,2,0.0396,0.0162
V8,two-wheeler,occlusion,heavy,0,nan,nan
V8,big-vehicle,density,sparse,260,0.9042,0.7276
V8,car,density,sparse,137,0.8425,0.6652
V8,pedestrian,density,sparse,21,0.6729,0.5052
V8,two-wheeler,density,sparse,228,0.7587,0.4789
V8,big-vehicle,density,medium,70,0.5306,0.3423
V8,car,density,medium,263,0.8524,0.6192
V8,pedestrian,density,medium,540,0.8078,0.4899
V8,two-wheeler,density,medium,453,0.6350,0.3534
V8,big-vehicle,density,dense,1,0.0900,0.0360
V8,car,density,dense,11,0.9351,0.6004
V8,pedestrian,density,dense,77,0.7117,0.4139
V8,two-wheeler,density,dense,21,0.6267,0.4194
