epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,25537.7,0.85458,0.40888,0.0033,0.8222,0.76619,0.84804,0.61585,1.16591,0.99248,0.02143,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,25900.9,0.84701,0.41207,0.00331,0.79554,0.7433,0.81014,0.59393,1.08007,1.05206,0.01851,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,26339.2,0.84731,0.40628,0.0033,0.80744,0.76257,0.82889,0.61429,1.08854,0.9866,0.01898,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,26630.3,0.84581,0.40058,0.0034,0.83137,0.7571,0.83283,0.60344,1.20837,1.0082,0.02279,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,26963.8,0.8364,0.40086,0.00332,0.82405,0.74372,0.83117,0.61056,1.18725,1.03912,0.02287,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,27292,0.84476,0.40169,0.00332,0.83223,0.73458,0.83068,0.59689,1.19147,1.0221,0.02198,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,27653.9,0.84521,0.40038,0.00326,0.82566,0.7833,0.85683,0.60995,1.1465,0.93869,0.02027,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,28024.8,0.83765,0.39925,0.00321,0.81889,0.78383,0.85478,0.62089,1.12854,0.95346,0.0203,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,28437.2,0.84342,0.40794,0.00329,0.81575,0.78812,0.86122,0.63276,1.10575,0.89853,0.01958,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,28778.4,0.82012,0.3835,0.0032,0.84037,0.75641,0.83678,0.58447,1.15366,1.05977,0.0207,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,29235.9,0.82269,0.38752,0.00322,0.81116,0.76921,0.83491,0.59749,1.1815,1.0434,0.02145,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,29688.3,0.82349,0.39194,0.00323,0.80025,0.74343,0.81698,0.5864,1.18053,1.13894,0.02121,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,30160.3,0.81443,0.38074,0.00313,0.8024,0.75964,0.82527,0.59324,1.18463,1.1291,0.02139,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,30573.6,0.81647,0.38525,0.00332,0.80005,0.74709,0.81795,0.59541,1.13913,1.05822,0.02026,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,30901.1,0.81182,0.38188,0.0032,0.80843,0.76704,0.84241,0.61536,1.10116,1.01216,0.01934,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,31284.1,0.80544,0.37557,0.00313,0.79243,0.75277,0.81923,0.59557,1.13903,1.02847,0.02021,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,31851.1,0.8102,0.38256,0.00319,0.79732,0.74956,0.80967,0.59564,1.14636,1.17153,0.0217,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,32395.9,0.80677,0.38226,0.00318,0.78394,0.74889,0.80686,0.59738,1.08704,1.01681,0.01831,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,32740.3,0.80387,0.37346,0.00322,0.81095,0.72967,0.81698,0.58966,1.10542,1.02067,0.01889,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,33084,0.79372,0.37031,0.00312,0.81023,0.74027,0.80301,0.5871,1.13024,1.11292,0.0202,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,33520.3,0.79716,0.36596,0.00303,0.80523,0.74779,0.80257,0.57777,1.13698,1.20363,0.02038,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,34141.2,0.79774,0.36926,0.00306,0.81973,0.77414,0.83604,0.59764,1.16761,0.95503,0.02169,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,34587.8,0.79958,0.37511,0.00307,0.79922,0.76513,0.82684,0.58914,1.15751,1.06814,0.02055,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,34949.2,0.79479,0.36446,0.00307,0.83738,0.74287,0.8286,0.59013,1.16039,1.02539,0.02088,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,35385.4,0.79364,0.37071,0.00317,0.83966,0.78465,0.85163,0.61855,1.12036,0.95813,0.01975,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,36002.2,0.80667,0.37121,0.00311,0.80636,0.75048,0.81318,0.59195,1.1841,1.09882,0.02185,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,36409.6,0.79474,0.36544,0.00308,0.83256,0.75025,0.83242,0.60092,1.11814,1.00627,0.01964,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
