epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
127,0.7222,1.0000,1.000,0.8200,0.2200,0.0400,0.6399,0.8154
128,0.6733,1.0000,1.000,0.8578,0.1911,0.0489,0.6678,0.8568
129,0.7467,1.0000,1.000,0.8133,0.2067,0.0200,0.6490,0.8361
130,0.6867,1.0000,1.000,0.7400,0.3000,0.0400,0.5579,0.7403
131,0.6333,1.0000,1.000,0.7156,0.3178,0.0311,0.5668,0.7466
132,0.6600,1.0000,1.000,0.6933,0.3311,0.0244,0.5532,0.7363
133,0.7000,1.0000,1.000,0.7800,0.2378,0.0178,0.6203,0.7989
134,0.7133,1.0000,1.000,0.8089,0.2311,0.0400,0.6370,0.8346
135,0.7156,1.0000,1.000,0.7644,0.2600,0.0222,0.6148,0.7887
136,0.7067,1.0000,1.000,0.8378,0.1933,0.0311,0.6620,0.8529
137,0.7067,1.0000,1.000,0.8311,0.1956,0.0267,0.6621,0.8340
138,0.7556,1.0000,1.000,0.8244,0.2178,0.0422,0.6434,0.8331
139,0.7711,1.0000,1.000,0.7467,0.2689,0.0156,0.6027,0.7742
140,0.7022,1.0000,1.000,0.7600,0.2800,0.0378,0.5834,0.7642
141,0.7133,1.0000,1.000,0.7756,0.2711,0.0467,0.6143,0.8113
142,0.6378,1.0000,1.000,0.7289,0.3022,0.0311,0.5694,0.7423
143,0.7111,1.0000,1.000,0.7889,0.2400,0.0289,0.6294,0.8253
144,0.7556,1.0000,1.000,0.7667,0.2556,0.0222,0.6135,0.8098
145,0.7444,1.0000,1.000,0.7467,0.2756,0.0222,0.6111,0.8011
146,0.7133,1.0000,1.000,0.7022,0.3089,0.0111,0.6043,0.8275
147,0.7289,1.0000,1.000,0.7600,0.2867,0.0444,0.5924,0.7692
148,0.7178,1.0000,1.000,0.8111,0.2267,0.0378,0.6380,0.8322
149,0.7467,1.0000,1.000,0.7800,0.2644,0.0444,0.6078,0.8095
150,0.8111,1.0000,1.000,0.7133,0.3044,0.0178,0.5992,0.7834
151,0.7711,1.0000,1.000,0.7867,0.2556,0.0422,0.6160,0.8121
152,0.7822,1.0000,1.000,0.6978,0.3133,0.0111,0.5914,0.8001
153,0.7111,1.0000,1.000,0.7089,0.3133,0.0222,0.5777,0.7555
154,0.7533,1.0000,1.000,0.7489,0.2733,0.0222,0.6197,0.8287
155,1.0000,1.0000,1.000,0.7489,0.2733,0.0222,0.6197,0.8287
