variant,class,dim,stratum,n_gt,AP50,AP50_95
V4,pedestrian,occlusion,heavy,2,0.0146,0.0072
V4,two-wheeler,occlusion,heavy,0,nan,nan
V4,big-vehicle,density,sparse,87,0.8248,0.5743
V4,car,density,sparse,124,0.8871,0.7039
V4,pedestrian,density,sparse,12,0.6520,0.4188
V4,two-wheeler,density,sparse,221,0.7290,0.4471
V4,big-vehicle,density,medium,66,0.4488,0.2975
V4,car,density,medium,260,0.8268,0.5905
V4,pedestrian,density,medium,535,0.8046,0.4963
V4,two-wheeler,density,medium,453,0.6125,0.3386
V4,big-vehicle,density,dense,1,0.0000,0.0000
V4,car,density,dense,11,0.6813,0.4417
V4,pedestrian,density,dense,77,0.6832,0.3819
V4,two-wheeler,density,dense,21,0.6276,0.3825
V5,big-vehicle,global,all,154,0.6416,0.4528
V5,car,global,all,395,0.8099,0.5884
V5,pedestrian,global,all,624,0.7449,0.4508
V5,two-wheeler,global,all,695,0.7075,0.3953
V5,big-vehicle,size,small,15,0.3871,0.2622
V5,car,size,small,156,0.6933,0.4490
V5,pedestrian,size,small,254,0.6461,0.3777
V5,two-wheeler,size,small,489,0.6533,0.3318
V5,big-vehicle,size,medium,104,0.6708,0.4849
V5,car,size,medium,204,0.8674,0.6507
V5,pedestrian,size,medium,370,0.8198,0.5135
V5,two-wheeler,size,medium,206,0.8400,0.5429
V5,big-vehicle,size,large,35,0.7920,0.5457
V5,car,size,large,35,0.9397,0.8228
V5,pedestrian,size,large,0,nan,nan
V5,two-wheeler,size,large,0,nan,nan
V5,big-vehicle,occlusion,no,128,0.6098,0.4207
V5,car,occlusion,no,357,0.8075,0.5937
V5,pedestrian,occlusion,no,460,0.7427,0.4540
V5,two-wheeler,occlusion,no,631,0.7157,0.4013
V5,big-vehicle,occlusion,partial,24,0.5393,0.3789
V5,car,occlusion,partial,38,0.4311,0.2525
V5,pedestrian,occlusion,partial,162,0.3913,0.1962
V5,two-wheeler,occlusion,partial,64,0.1789,0.0815
V5,big-vehicle,occlusion,heavy,2,0.4951,0.2476
V5,car,occlusion,heavy,0,nan,nan
V5,pedestrian,occlusion,heavy,2,0.0113,0.0058
V5,two-wheeler,occlusion,heavy,0,nan,nan
V5,big-vehicle,density,sparse,87,0.7830,0.5574
V5,car,density,sparse,124,0.8367,0.6602
V5,pedestrian,density,sparse,12,0.4037,0.2034
V5,two-wheeler,density,sparse,221,0.7496,0.4590
V5,big-vehicle,density,medium,66,0.4682,0.3315
V5,car,density,medium,260,0.8139,0.5666
V5,pedestrian,density,medium,535,0.7579,0.4594
V5,two-wheeler,density,medium,453,0.6920,0.3695
V5,big-vehicle,density,dense,1,0.0000,0.0000
V5,car,density,dense,11,0.7614,0.4687
V5,pedestrian,density,dense,77,0.7604,0.4800
V5,two-wheeler,density,dense,21,0.6796,0.4043
V6,big-vehicle,global,all,154,0.4802,0.3748
V6,car,global,all,395,0.7470,0.5769
