image,n_gt,dr,miss,dup,cm_mean
frame_000324_png.rf.XKujjsXqsc6h3sQhEpSc.png,8,1.0,2,2,0.5430771224200726
frame_000540_png.rf.o5DDcuPFSLStXSog2jmM.png,20,0.6499999761581421,7,0,0.5404118667138391
frame_000648_png.rf.6JddQS4Ve6GTRsreDh3V.png,12,0.6666666865348816,4,0,0.5728996408676418
frame_000756_png.rf.Bpyve76xfXXapleBwmvl.png,9,1.0,0,0,0.7956097390916612
frame_000972_png.rf.QQzGOoYAW7O42N8Ci1MK.png,4,1.0,0,0,0.7487737089395523
frame_001188_png.rf.6c87dAZWweniUTD5nklJ.png,4,1.0,0,0,0.8426027595996857
frame_001296_png.rf.PoPK7UpUiA9E8gGPE62k.png,6,0.8333333134651184,1,0,0.7634879499673843
frame_001404_png.rf.41v6GpW9HkBYg19SKoqV.png,4,1.25,0,1,0.6533467620611191
frame_001512_png.rf.aDcA0scqlYXH6HKi1yTL.png,10,0.800000011920929,2,0,0.6453892433142755
frame_001728_png.rf.4EFiMDEcAHfNocojsJVP.png,12,0.8333333134651184,2,0,0.5978526566177607
frame_002052_png.rf.6iQ7YtcHog1Rhe3i1J3D.png,14,1.0714285373687744,0,1,0.6916214312825885
frame_002160_png.rf.avpfLRlWCkXHdE4AIMZn.png,15,1.0,2,2,0.5626673181240525
frame_002592_png.rf.XBIVNQTWDXLriRf70TT4.png,14,1.0,0,0,0.6647139021328518
frame_003348_png.rf.FlDsjWXLvJ3q1GS8xeqo.png,10,0.800000011920929,2,0,0.6396140513941646
frame_003564_png.rf.Zy0vT3jvvzwj86mOaMHS.png,10,0.8999999761581421,2,1,0.6220800660550594
frame_003672_png.rf.aKpTz9bJn4xDPlS5Q78n.png,7,0.7142857313156128,2,0,0.6252212481423547
frame_003780_png.rf.pMSOQBYB7d40oRUOvqQg.png,9,0.8888888955116272,2,1,0.56492754738752
frame_003996_png.rf.leh1xBix7xYZq6cpkbhD.png,7,1.2857142686843872,0,2,0.6148277648857662
frame_004104_png.rf.sMkoVf4JAEQkr5YRnh3F.png,7,1.0,0,0,0.8169980815478733
frame_004536_png.rf.LciCyBmiK0O3wfp7ML4c.png,13,0.9230769276618958,1,0,0.6373704041425998
frame_004644_png.rf.3rYqND1IYToE4oeuv3p3.png,13,1.076923131942749,2,3,0.5692611864457527
frame_004752_png.rf.cDzYEXQMGpzZGH48jQCI.png,12,0.9166666865348816,1,0,0.708773830284675
frame_004968_png.rf.9ZBhRtpLhi5ShMS8jQkA.png,7,1.0,1,1,0.6691921332052776
frame_005292_png.rf.oiWCrC2j3lwwL4xigYup.png,7,1.1428571939468384,0,1,0.4637374111584255
gol3_10_jpg.rf.Wff213Nm1Y36wKpqYFdI.jpg,1,1.0,0,0,0.9163640737533569
gol3_12_jpg.rf.Elb3dV8dXqJUvPHRyvOG.jpg,1,1.0,0,0,0.8660882711410522
gol3_13_jpg.rf.EUw4y3CrsU878zH50Nbp.jpg,1,1.0,0,0,0.9224569797515869
gol3_14_jpg.rf.Gw6jCZaUQZtNeq6DeYNe.jpg,1,1.0,0,0,0.8969175815582275
gol3_16_jpg.rf.uNrqUoppmF2Jkpt78Lam.jpg,1,1.0,0,0,0.889759361743927
gol3_17_jpg.rf.L8KC87Pbvg0t4kmGLv9b.jpg,1,1.0,0,0,0.9036999940872192
gol3_18_jpg.rf.x6sXfWvcTvpCueXjS1Ux.jpg,1,1.0,0,0,0.8963419795036316
gol3_19_jpg.rf.iLY7QXuU5RHFkr05q4h3.jpg,2,0.5,1,0,0.4740535393357277
gol3_1_jpg.rf.BlTDS3Afhc5fhlJJjAn6.jpg,1,1.0,0,0,0.9306419491767883
gol3_20_jpg.rf.ZOHsJHWR03xo24yx2sw3.jpg,1,1.0,0,0,0.8847478032112122
gol3_22_jpg.rf.WbY88wJCaGBx54lAL4rv.jpg,1,1.0,0,0,0.925704836845398
gol3_23_jpg.rf.ZjNPBxm0ChJQlhSj9AKO.jpg,1,1.0,0,0,0.8828819990158081
gol3_24_jpg.rf.nAd7Hp22iWX05BXpiRZp.jpg,1,1.0,0,0,0.8949210047721863
gol3_25_jpg.rf.pv1J54QliXYpGzIHcjKO.jpg,1,1.0,0,0,0.9003079533576965
gol3_26_jpg.rf.rQkMGEQx4mWrjI3f9m7F.jpg,1,1.0,0,0,0.9303680062294006
gol3_3_jpg.rf.y3AapdFApIDXyyrKQKFk.jpg,2,0.0,2,0,0.005977696273475885
gol3_4_jpg.rf.3C7ydLSI3451w2IRbkrY.jpg,1,1.0,0,0,0.8864404559135437
gol3_6_jpg.rf.cgrG90Qo8n4BYw3yyuG9.jpg,1,1.0,0,0,0.9159091114997864
gol4_10_jpg.rf.K94f7fV20YKgCbCFsHds.jpg,1,1.0,0,0,0.9250791668891907
gol4_11_jpg.rf.wzFGmgvnB4kpkCrH95WC.jpg,1,1.0,0,0,0.8690941333770752
gol4_12_jpg.rf.t5vohLCFjkaFfxCT9ZwV.jpg,1,1.0,0,0,0.9385879039764404
gol4_13_jpg.rf.dO6vDahW2HIXd3laT1bD.jpg,1,1.0,0,0,0.6041899919509888
gol4_14_jpg.rf.qQ3xSXTO2zk9EWgYwGeS.jpg,1,1.0,0,0,0.8328847885131836
gol4_15_jpg.rf.8zwSCLP0K6Uy5CcMllgX.jpg,1,1.0,0,0,0.9422226548194885
gol4_16_jpg.rf.cxIuE3ej5g6j0SPzjmBX.jpg,1,1.0,0,0,0.8254881501197815
gol4_1_jpg.rf.OQZytCSV5xAim9oUrW1j.jpg,2,1.0,0,0,0.8316371142864227
gol4_2_jpg.rf.IOzTG9InsjWhhCzMw2WQ.jpg,1,1.0,0,0,0.9334399700164795
gol4_3_jpg.rf.isdTfKihT4QL8ljoyLu2.jpg,1,1.0,0,0,0.914025068283081
gol4_6_jpg.rf.vpXqYchUflB3KqvhjDek.jpg,1,1.0,0,0,0.9165017008781433
gol4_7_jpg.rf.b5i1F3mmz5z6oPwGRRxm.jpg,1,1.0,0,0,0.924020528793335
gol4_8_jpg.rf.Pdi3GePz0tFPdV2biMzu.jpg,1,1.0,0,0,0.8779807686805725
gol4_9_jpg.rf.8HgJqCbnb2iBuUfD1v0t.jpg,1,1.0,0,0,0.9218842387199402
